,year,group_desc,commodity_desc,state_alpha,short_desc,Value,class_desc,statisticcat_desc,Value_Harvested,Value_Planted,Value_Bearing
0,2022.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,15000,ALL CLASSES,AREA HARVESTED,15000.0,,
1,2021.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,16000,ALL CLASSES,AREA HARVESTED,16000.0,,
2,2020.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,8000,ALL CLASSES,AREA HARVESTED,8000.0,,
3,2019.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,15000,ALL CLASSES,AREA HARVESTED,15000.0,,
4,2018.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,11000,ALL CLASSES,AREA HARVESTED,11000.0,,
5,2017.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,17000,ALL CLASSES,AREA HARVESTED,17000.0,,
6,2016.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,16000,ALL CLASSES,AREA HARVESTED,16000.0,,
7,2015.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,16000,ALL CLASSES,AREA HARVESTED,16000.0,,
8,2014.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,32000,ALL CLASSES,AREA HARVESTED,32000.0,,
9,2013.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,69000,ALL CLASSES,AREA HARVESTED,69000.0,,
10,2012.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,47000,ALL CLASSES,AREA HARVESTED,47000.0,,
11,2011.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,64000,ALL CLASSES,AREA HARVESTED,64000.0,,
12,2010.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,44000,ALL CLASSES,AREA HARVESTED,44000.0,,
13,2009.0,FIELD CROPS,BARLEY,AZ,BARLEY - ACRES HARVESTED,45000,ALL CLASSES,AREA HARVESTED,45000.0,,
